Year,June,July,August,September
1996,6/19/1996 17:00,7/22/1996 17:00,8/5/1996 17:00,9/10/1996 18:00
1997,6/30/1997 17:00,7/28/1997 17:00,8/20/1997 17:00,9/17/1997 17:00
1998,6/19/1998 17:00,7/31/1998 17:00,8/3/1998 16:00,9/4/1998 17:00
1999,6/28/1999 17:00,7/29/1999 17:00,8/26/1999 17:00,9/7/1999 17:00
2000,6/28/2000 17:00,7/19/2000 17:00,8/31/2000 17:00,9/1/2000 17:00
2001,6/13/2001 17:00,7/23/2001 17:00,8/22/2001 16:45,9/7/2001 16:30
2002,6/12/2002 17:00,7/24/2002 16:30,8/26/2002 16:45,9/5/2002 16:45
2003,6/25/2003 17:00,7/22/2003 16:30,8/7/2003 17:00,9/9/2003 17:00
2004,6/1/2004 16:45,7/15/2004 16:45,8/3/2004 16:00,9/17/2004 16:00
2005,6/30/2005 16:45,7/6/2005 17:00,8/23/2005 16:30,9/28/2005 16:30
2006,6/13/2006 16:15,7/17/2006 16:30,8/17/2006 17:00,9/1/2006 16:30
2007,6/19/2007 16:45,7/12/2007 16:30,8/13/2007 15:30,9/7/2007 16:00
2008,6/16/2008 16:45,7/31/2008 16:45,8/4/2008 17:00,9/2/2008 16:45
2009,6/25/2009 16:15,7/13/2009 17:00,8/5/2009 16:00,9/3/2009 16:00
2010,6/21/2010 16:45,7/16/2010 16:30,8/23/2010 16:00,9/14/2010 16:45
2011,6/15/2011 17:00,7/27/2011 16:30,8/3/2011 17:00,9/2/2011 16:30
2012,6/26/2012 16:30,7/31/2012 17:00,8/1/2012 17:00,9/5/2012 17:00
2013,6/27/2013 17:00,7/31/2013 17:00,8/7/2013 16:45,9/3/2013 16:45
2014,6/30/2014 16:30,7/21/2014 16:45,8/25/2014 17:00,9/10/2014 17:00
2015,6/10/2015 16:45,7/30/2015 16:45,8/10/2015 17:00,9/8/2015 16:30
2016,6/15/2016 17:00,7/14/2016 16:30,8/11/2016 16:30,9/19/2016 16:15
2017,6/23/2017 16:45,7/28/2017 17:00,8/16/2017 17:00,9/20/2017 16:45
2018,6/27/2018 17:00,7/19/2018 17:00,8/23/2018 16:45,9/19/2018 16:30
2019,6/19/2019 17:00,7/30/2019 16:30,8/12/2019 17:00,9/6/2019 16:45
2020,6/8/2020 17:45,7/13/2020 16:45,8/13/2020 16:45,9/1/2020 14:30
2022,6/23/2022 17:00,7/20/2022 16:45,8/2/2022 17:00,9/20/2022 17:00
2023,6/27/2023 17:00,7/31/2023 17:00,8/10/2023 17:00,9/8/2023 16:45
2024,6/30/2024 17:45,7/1/2024 17:00,8/20/2024 17:00,9/20/2024 16:00
2025,6/19/2025 17:00,7/30/2025 17:00,8/18/2025 17:00,9/4/2025 17:30
